fp_plate	fp_well	piq_plate	piq_well	miseq_plate	miseq_well	miseq_experiment_name	notes		
HUPFP0021_3	B01	HUEDQ0509	F02	Miseq_018	158	HUEDQ0509_NHLRC2_1			
HUPFP0021_3	B02	HUEDQ0509	G02	Miseq_018	159	HUEDQ0509_NHLRC2_1			
HUPFP0021_3	D06	HUEDQ0509	B02	Miseq_018	154	HUEDQ0509_NHLRC2_1			
HUPFP0021_3	H02	HUEDQ0509	D02	Miseq_018	156	HUEDQ0509_NHLRC2_1			
HUPFP0021_3	G04	HUEDQ0509	C02	Miseq_018	155	HUEDQ0509_NHLRC2_1			
HUPFP0021_3	H09	HUEDQ0509	H02	Miseq_018	160	HUEDQ0509_NHLRC2_1			
HUPFP0036_4	B05	HUEDQ0527	C02	Miseq_040	179	HUEDQ0527_IFNB1_1			
HUPFP0036_4	A09	HUEDQ0527	D02	Miseq_040	180	HUEDQ0527_IFNB1_1			
HUPFP0021_6	G07	HUEDQ0511	C01	Miseq_021	123	HUEDQ0511_IFNAR1_1			
HUPFP0021_6	D08	HUEDQ0511	B01	Miseq_021	122	HUEDQ0511_IFNAR1_1			
HUPFP0021_6	B01	HUEDQ0511	E01	Miseq_021	125	HUEDQ0511_IFNAR1_1			
HUPFP0021_6	B08	HUEDQ0511	D01	Miseq_021	124	HUEDQ0511_IFNAR1_1			
HUPFP0021_6	B02	HUEDQ0511	A01	Miseq_021	121	HUEDQ0511_IFNAR1_1			
HUPFP0045_7	A02	HUEDQ0541	G02	Miseq_061	111	HUEDQ0541_ARF6_2			
HUPFP0045_7	A05	HUEDQ0541	H02	Miseq_061	112	HUEDQ0541_ARF6_2			
HUPFP0045_7	A11	HUEDQ0541	A03	Miseq_061	113	HUEDQ0541_ARF6_2			
HUPFP0045_7	H11	HUEDQ0541	B03	Miseq_061	114	HUEDQ0541_ARF6_2			
HUPFP0021_15	A03	HUEDQ0508	B03	Miseq_018	138	HUEDQ0508_S100A9_2			
HUPFP0021_15	C11	HUEDQ0508	D03	Miseq_018	140	HUEDQ0508_S100A9_2			
HUPFP0021_15	C03	HUEDQ0508	F03	Miseq_018	142	HUEDQ0508_S100A9_2			
HUPFP0021_15	A02	HUEDQ0508	A03	Miseq_018	137	HUEDQ0508_S100A9_2			
HUPFP0021_15	D08	HUEDQ0508	G03	Miseq_018	143	HUEDQ0508_S100A9_2			
HUPFP0021_15	C02	HUEDQ0508	C03	Miseq_018	139	HUEDQ0508_S100A9_2			
HUPFP0021_15	D03	HUEDQ0508	E03	Miseq_018	141	HUEDQ0508_S100A9_2			
HUPFP0027_3	B11	HUEDQ0517	H02	Miseq_028	136	HUEDQ0517_AHR_1			
HUPFP0068A6	A01	HUEDQ0561	H07	Miseq_097	152	HUEDQ0561_SETD1A_1			
HUPFP0068A6	C01	HUEDQ0561	E07	Miseq_097	149	HUEDQ0561_SETD1A_1			
HUPFP0068A6	A02	HUEDQ0561	A08	Miseq_097	153	HUEDQ0561_SETD1A_1			
HUPFP0068A6	C05	HUEDQ0561	F07	Miseq_097	150	HUEDQ0561_SETD1A_1			
HUPFP0068A6	C06	HUEDQ0561	G07	Miseq_097	151	HUEDQ0561_SETD1A_1			
HUPFP0068A6	B07	HUEDQ0561	D08	Miseq_097	156	HUEDQ0561_SETD1A_1			
HUPFP0068A6	A08	HUEDQ0561	B08	Miseq_097	154	HUEDQ0561_SETD1A_1			
HUPFP0068A6	B08	HUEDQ0561	C07	Miseq_097	147	HUEDQ0561_SETD1A_1			
HUPFP0068A6	B09	HUEDQ0561	D07	Miseq_097	148	HUEDQ0561_SETD1A_1			
HUPFP0068A6	A11	HUEDQ0561	C08	Miseq_097	155	HUEDQ0561_SETD1A_1			
HUPFP0090A4	B01	HUEDQ0567	E08	Miseq_101	157	HUEDQ0567_ZBTB18_2			
HUPFP0090A4	B02	HUEDQ0567	F08	Miseq_101	158	HUEDQ0567_ZBTB18_2			
HUPFP0090A4	F02	HUEDQ0565	C05	Miseq_100	227	HUEDQ0565_ZBTB18_2			
HUPFP0090A4	G02	HUEDQ0565	B05	Miseq_100	226	HUEDQ0565_ZBTB18_2			
HUPFP0090A4	B03	HUEDQ0567	A09	Miseq_101	161	HUEDQ0567_ZBTB18_2			
HUPFP0090A4	C03	HUEDQ0567	B09	Miseq_101	162	HUEDQ0567_ZBTB18_2			
HUPFP0090A4	D03	HUEDQ0567	G08	Miseq_101	159	HUEDQ0567_ZBTB18_2			
HUPFP0090A4	D04	HUEDQ0567	H08	Miseq_101	160	HUEDQ0567_ZBTB18_2			
HUPFP0090A4	E04	HUEDQ0565	A05	Miseq_100	225	HUEDQ0565_ZBTB18_2			
HUPFP0090A4	D06	HUEDQ0567	C09	Miseq_101	163	HUEDQ0567_ZBTB18_2			
HUPFP0072A12	B03	HUEDQ0563	C10	Miseq_100	171	HUEDQ0563_FBN1_3			
HUPFP0072A12	H06	HUEDQ0563	D10	Miseq_100	172	HUEDQ0563_FBN1_3			
HUPFP0036_1	A01	HUEDQ0527	B01	Miseq_040	170	HUEDQ0527_PHF8_2			
HUPFP0036_1	C04	HUEDQ0527	A01	Miseq_040	169	HUEDQ0527_PHF8_2			
HUPFP0028_9	B05	HUEDQ0518	F02				Not on HUEDQ0518 (LIMS suggest HUEDQ513 and 516 but I can't find these clones on either of those plates)		
HUPFP0028_9	A02	HUEDQ0518	D02						
HUPFP0028_9	A01	HUEDQ0518	B02						
HUPFP0028_9	B03	HUEDQ0518	C02						
HUPFP0028_9	D06	HUEDQ0518	G02						
HUPFP0028_9	A03	HUEDQ0518	E02						
HUPFP0021_5	H02	HUEDQ0514	D03	Miseq_023	164	HUEDQ0514_YDJC_1			
HUPFP0021_5	A03	HUEDQ0511	C02	Miseq_021	131	HUEDQ0511_YDJC_1			
HUPFP0021_5	A02	HUEDQ0511	B02	Miseq_021	130	HUEDQ0511_YDJC_1			
HUPFP0046_15	D06	HUEDQ0541	G01	Miseq_061	127	HUEDQ0541_RAB32_3			
HUPFP0046_15	G07	HUEDQ0541	F01	Miseq_061	126	HUEDQ0541_RAB32_3			
HUPFP0046_15	A08	HUEDQ0541	E01	Miseq_061	125	HUEDQ0541_RAB32_3			
HUPFP0018_1	B01	HUEDQ0510	A01	Miseq_019	169	HUEDQ0510_ANKRD11_1			
HUPFP0018_1	B02	HUEDQ0502	B02	Miseq_014	169	HUEDQ0502_ANKRD11_1			
HUPFP0018_1	A03	HUEDQ0502	C02	Miseq_014	177	HUEDQ0502_ANKRD11_1			
HUPFP0018_1	B03	HUEDQ0502	A02	Miseq_014	161	HUEDQ0502_ANKRD11_1			
HUPFP0018_1	A04	HUEDQ0502	H01	Miseq_014	153	HUEDQ0502_ANKRD11_1			
HUPFP0018_1	C05	HUEDQ0502	G01	Miseq_014	145	HUEDQ0502_ANKRD11_1			
HUPFP0068B3	C07	HUEDQ0567	A07	Miseq_101	145	HUEDQ0567_KDM5B_3			
HUPFP0068B3	E08	HUEDQ0567	B07	Miseq_101	146	HUEDQ0567_KDM5B_3			
HUPFP0068B3	E09	HUEDQ0567	C07	Miseq_101	147	HUEDQ0567_KDM5B_3			
HUPFP0068B3	H09	HUEDQ0567	E07	Miseq_101	149	HUEDQ0567_KDM5B_3			
HUPFP0068B3	G12	HUEDQ0567	D07	Miseq_101	148	HUEDQ0567_KDM5B_3			
HUPFP0069A3	A01	HUEDQ0565	D05	Miseq_100	228	HUEDQ0565_SETD5_2			
HUPFP0069A3	A02	HUEDQ0565	E05	Miseq_100	229	HUEDQ0565_SETD5_2			
HUPFP0069A3	A04	HUEDQ0565	F05	Miseq_100	230	HUEDQ0565_SETD5_2			
HUPFP0069A3	A05	HUEDQ0563	E11	Miseq_100	181	HUEDQ0563_SETD5_2			
HUPFP0069A3	A06	HUEDQ0567	F07	Miseq_101	150	HUEDQ0567_SETD5_2			
HUPFPPlate3	G03	HUEDQ0501	C02	Miseq_009_2ndQC	81	HUEDQ0501_KPTN_1			
HUPFPPlate3	C07	HUEDQ0501	E02				Can't find on HUEDQ0501		
